Datetime,Opening Price,Highest Price,Lowest Price,Closing Price,Trading Volume
2023-11-09 14:00:00,182.01,182.04,181.59,181.65,594243
2023-11-09 14:30:00,181.66,181.71,181.38,181.59,459786
2023-11-09 15:00:00,181.59,181.75,181.54,181.6,201014
2023-11-09 15:30:00,181.61,181.65,181.45,181.49,667932
2023-11-13 09:30:00,179.4,179.52,179.18,179.19,737030
2023-11-13 10:00:00,179.19,179.57,179.11,179.46,411457
2023-11-13 10:30:00,179.45,179.79,179.38,179.75,542091
2023-11-13 11:00:00,179.74,180.18,179.72,180.16,2270350
2023-11-13 11:30:00,180.15,180.51,180.15,180.43,422481
2023-11-13 12:00:00,180.45,180.73,180.34,180.63,319882
2023-11-13 12:30:00,180.64,180.64,180.4,180.42,227650
2023-11-13 13:00:00,180.41,180.57,180.34,180.43,278138
2023-11-13 13:30:00,180.42,180.61,180.35,180.61,3564324
2023-11-13 14:00:00,180.61,180.63,180.46,180.47,172893
2023-11-13 14:30:00,180.47,180.51,180.41,180.46,317006
2023-11-13 15:00:00,180.46,180.46,180.36,180.37,191121
2023-11-13 15:30:00,180.38,180.53,180.38,180.52,853052
2023-11-14 09:30:00,181.7,182.75,181.62,182.45,1700105
2023-11-14 10:00:00,182.44,182.6,182.22,182.53,603793
2023-11-14 10:30:00,182.54,182.55,181.94,182.14,486579
2023-11-14 11:00:00,182.13,182.28,182.04,182.14,244749
2023-11-14 11:30:00,182.15,182.34,182.04,182.11,372637
2023-11-14 12:00:00,182.11,182.2,181.89,182.02,429956
2023-11-14 12:30:00,182.03,182.07,181.9,181.93,165197
2023-11-14 13:00:00,181.92,182.13,181.87,181.94,199704
2023-11-14 13:30:00,181.93,182.03,181.88,181.98,437051
2023-11-14 14:00:00,181.98,182.08,181.93,181.97,356165
2023-11-14 14:30:00,181.98,182.07,181.97,182.06,116347
2023-11-14 15:00:00,182.07,182.13,182.04,182.12,289094
2023-11-14 15:30:00,182.12,182.16,182.0,182.1,892787
2023-11-15 09:30:00,182.01,182.18,181.31,181.49,995777
2023-11-15 10:00:00,181.46,181.76,181.46,181.75,595246
2023-11-15 10:30:00,181.76,182.15,181.7,182.04,403170
2023-11-15 11:00:00,182.03,182.07,181.88,182.0,230874
2023-11-15 11:30:00,182.0,182.04,181.66,181.94,268933
2023-11-15 12:00:00,181.94,181.96,181.77,181.96,2651701
2023-11-15 12:30:00,181.95,182.03,181.79,181.87,156231
2023-11-15 13:00:00,181.87,181.93,181.76,181.81,159108
2023-11-15 13:30:00,181.81,181.83,181.66,181.78,172550
2023-11-15 14:00:00,181.79,181.89,181.76,181.86,105618
2023-11-15 14:30:00,181.85,181.92,181.81,181.89,166468
2023-11-15 15:00:00,181.89,181.93,181.87,181.9,170870
2023-11-15 15:30:00,181.9,181.9,181.62,181.66,1018694
2023-11-16 09:30:00,182.85,183.85,182.8,183.55,1329161
2023-11-16 10:00:00,183.56,184.17,183.51,184.07,1160741
2023-11-16 10:30:00,184.07,184.19,183.79,184.05,629809
2023-11-16 11:00:00,184.05,184.32,183.88,183.91,602124
2023-11-16 11:30:00,183.91,184.12,183.59,183.77,626693
2023-11-16 12:00:00,183.84,183.92,183.66,183.87,506520
2023-11-16 12:30:00,183.87,183.93,183.73,183.91,223927
2023-11-16 13:00:00,183.91,184.06,183.9,183.95,5686108
2023-11-16 13:30:00,183.95,184.07,183.91,183.97,272605
2023-11-16 14:00:00,183.97,183.99,183.86,183.89,290362
2023-11-16 14:30:00,183.91,183.95,183.88,183.9,197085
2023-11-16 15:00:00,183.9,183.97,183.66,183.72,505273
2023-11-16 15:30:00,183.73,183.78,183.65,183.65,1163099
2023-11-17 09:30:00,183.96,184.12,183.52,183.6,757319
2023-11-17 10:00:00,183.6,183.9,183.58,183.79,571071
2023-11-17 10:30:00,183.8,183.97,183.77,183.89,330273
2023-11-17 11:00:00,183.9,184.07,183.7,183.74,601880
2023-11-17 11:30:00,183.74,183.75,183.52,183.68,276269
2023-11-17 12:00:00,183.68,183.68,183.45,183.57,290080
2023-11-17 12:30:00,183.56,183.68,183.53,183.68,264012
2023-11-17 13:00:00,183.68,183.79,183.66,183.75,152796
2023-11-17 13:30:00,183.75,183.82,183.62,183.76,159295
2023-11-17 14:00:00,183.75,183.75,183.63,183.65,76436
2023-11-17 14:30:00,183.67,183.71,183.55,183.6,319074
2023-11-17 15:00:00,183.61,183.68,183.48,183.65,244874
2023-11-17 15:30:00,183.65,183.68,183.57,183.67,511558
