date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2022-03-07,1989,2001.099976,1963,1993.900024,1993.900024,2516,2516,4.90002,0.24636,1986,"March 07, 22",0.0024636
2022-03-04,1937,1970.900024,1935.599976,1965.099976,1965.099976,47,47,28.09998,1.45,1957.2,"March 04, 22",0.0145
2022-03-03,1930.5,1940.300049,1924.800049,1934.400024,1934.400024,122,122,3.90002,0.20202,1933.17,"March 03, 22",0.0020202
2022-03-02,1945.599976,1948.199951,1919.800049,1920.900024,1920.900024,109,109,-24.69995,-1.27,1929.63,"March 02, 22",-0.0127
2022-03-01,1908.300049,1942.400024,1903.800049,1942.400024,1942.400024,547,547,34.09998,1.79,1929.53,"March 01, 22",0.0179
2022-02-28,1928.300049,1928.400024,1894.199951,1899.400024,1899.400024,390,390,-28.90002,-1.5,1907.33,"February 28, 22",-0.015
2022-02-25,1906.900024,1920,1883.599976,1886.5,1886.5,586,586,-20.40002,-1.07,1896.7,"February 25, 22",-0.0107
2022-02-24,1911.900024,1972.5,1911.699951,1925.099976,1925.099976,2706,2706,13.19995,0.69041,1936.43,"February 24, 22",0.0069041
2022-02-23,1896.599976,1910.599976,1895.699951,1909.199951,1909.199951,73,73,12.59998,0.66435,1905.17,"February 23, 22",0.0066435
2022-02-22,1908.099976,1912,1890.800049,1906.099976,1906.099976,173,173,-2,-0.10482,1902.97,"February 22, 22",-0.0010482
2022-02-21,1903.5,1918.3,1889.7,1907.4,1907.4,0,0,3.9,0.20489,1904.725,"February 21, 22",0.0020489
2022-02-18,1899.400024,1899.400024,1890.699951,1898.599976,1898.599976,51,51,-0.800048,-0.04212109,1896.23,"February 18, 22",-0.0004212109
2022-02-17,1876.300049,1900.699951,1876.199951,1900.699951,1900.699951,393,393,24.3999,1.3,1892.53,"February 17, 22",0.013
2022-02-16,1858.699951,1870.199951,1856.300049,1870.199951,1870.199951,34,34,11.5,0.61871,1865.57,"February 16, 22",0.0061871
2022-02-15,1872.599976,1879.699951,1847.400024,1854.800049,1854.800049,86,86,-17.79993,-0.95055,1860.63,"February 15, 22",-0.0095055
2022-02-14,1861.800049,1870.599976,1854.599976,1868,1868,79,79,6.19995,0.33301,1864.4,"February 14, 22",0.0033301
2022-02-11,1822,1864.800049,1822,1840.800049,1840.800049,181,181,18.80005,1.03,1842.53,"February 11, 22",0.0103
2022-02-10,1833.300049,1842.099976,1820.800049,1836.199951,1836.199951,365,365,2.8999,0.15818,1833.03,"February 10, 22",0.0015818
2022-02-09,1825.400024,1835.199951,1825.300049,1835.199951,1835.199951,683,683,9.79993,0.53686,1831.9,"February 09, 22",0.0053686
2022-02-08,1818.900024,1827.599976,1815,1826.599976,1826.599976,108,108,7.69995,0.42333,1823.07,"February 08, 22",0.0042333
2022-02-07,1812.199951,1821.300049,1809.099976,1820.599976,1820.599976,601,601,8.40002,0.46353,1817,"February 07, 22",0.0046353
2022-02-04,1806,1813.699951,1792.5,1806.599976,1806.599976,571,571,0.599976,0.03322126,1804.27,"February 04, 22",0.0003322126
2022-02-03,1805.800049,1808.099976,1787.900024,1803,1803,466,466,-2.80005,-0.15506,1799.67,"February 03, 22",-0.0015506
2022-02-02,1797.800049,1810.099976,1795.099976,1809.199951,1809.199951,1690,1690,11.3999,0.6341,1804.8,"February 02, 22",0.006341
2022-02-01,1797.199951,1806.099976,1797.099976,1800.300049,1800.300049,223,223,3.1001,0.1725,1801.17,"February 01, 22",0.001725
2022-01-31,1788.5,1798.5,1785.099976,1795,1795,1735,1735,6.5,0.36343,1792.87,"January 31, 22",0.0036343
2022-01-28,1797.5,1798.400024,1778.800049,1784.900024,1784.900024,28521,28521,-12.59998,-0.70097,1787.37,"January 28, 22",-0.0070097
2022-01-27,1793.300049,1793.300049,1793.300049,1793.300049,1793.300049,196036,196036,0,0,1793.3,"January 27, 22",0
2022-01-26,1829.900024,1829.900024,1829.900024,1829.900024,1829.900024,55,55,0,0,1829.9,"January 26, 22",0
2022-01-25,1843,1852.699951,1842,1852.699951,1852.699951,11,11,9.69995,0.52631,1849.13,"January 25, 22",0.0052631
2022-01-24,1837.900024,1842.099976,1837.900024,1841.699951,1841.699951,8,8,3.79993,0.20675,1840.57,"January 24, 22",0.0020675
2022-01-21,1838,1842.400024,1828.900024,1831.800049,1831.800049,19,19,-6.19995,-0.33732,1834.37,"January 21, 22",-0.0033732
2022-01-20,1840.599976,1843,1838.199951,1842.5,1842.5,20,20,1.90002,0.10323,1841.23,"January 20, 22",0.0010323
2022-01-19,1817.400024,1843.099976,1817.400024,1843.099976,1843.099976,4,4,25.69995,1.41,1834.53,"January 19, 22",0.0141
2022-01-18,1816.800049,1820.099976,1812.300049,1812.300049,1812.300049,900,900,-4.5,-0.24769,1814.9,"January 18, 22",-0.0024769
2022-01-17,1818.7,1824.2,1806.9,1814.1,1814.1,0,0,-4.6,-0.25293,1815.975,"January 17, 22",-0.0025293
2022-01-14,1821.5,1822,1816.5,1816.5,1816.5,816,816,-5,-0.2745,1818.33,"January 14, 22",-0.002745
2022-01-13,1819.800049,1823,1815.400024,1821.199951,1821.199951,40,40,1.3999,0.07692614,1819.87,"January 13, 22",0.0007692614
2022-01-12,1819,1827.199951,1816.900024,1827.199951,1827.199951,1547,1547,8.19995,0.45079,1823.77,"January 12, 22",0.0045079
2022-01-11,1803.900024,1822.5,1803,1818.599976,1818.599976,743,743,14.69995,0.8149,1814.7,"January 11, 22",0.008149
2022-01-10,1794.900024,1798.699951,1790.400024,1798.400024,1798.400024,534,534,3.5,0.195,1795.83,"January 10, 22",0.00195
2022-01-07,1791.800049,1797,1784.400024,1797,1797,17,17,5.19995,0.29021,1792.8,"January 07, 22",0.0029021
2022-01-06,1787.099976,1791.300049,1787.099976,1788.699951,1788.699951,30,30,1.59998,0.08952913,1789.03,"January 06, 22",0.0008952913
2022-01-05,1813.099976,1824.599976,1813.099976,1824.599976,1824.599976,8,8,11.5,0.63427,1820.77,"January 05, 22",0.0063427
2022-01-04,1800.5,1815.300049,1800,1814,1814,38,38,13.5,0.74979,1809.77,"January 04, 22",0.0074979
2022-01-03,1830.099976,1830.099976,1798.800049,1799.400024,1799.400024,116,116,-30.69995,-1.68,1809.43,"January 03, 22",-0.0168
2021-12-31,1825.099976,1827.800049,1821.400024,1827.5,1827.5,80,80,2.40002,0.1315,1825.57,"December 31, 21",0.001315
2021-12-30,1801.699951,1816,1796,1812.699951,1812.699951,306,306,11,0.61053,1808.23,"December 30, 21",0.0061053
2021-12-29,1803.199951,1805.099976,1791.400024,1805.099976,1805.099976,623,623,1.90002,0.10537,1800.53,"December 29, 21",0.0010537
2021-12-28,1812,1818,1805.5,1810.199951,1810.199951,146,146,-1.80005,-0.09934045,1811.23,"December 28, 21",-0.0009934045
2021-12-27,1810,1812.099976,1807,1808.099976,1808.099976,150,150,-1.90002,-0.10497,1809.07,"December 27, 21",-0.0010497
2021-12-23,1806,1811.199951,1800.800049,1811.199951,1811.199951,193,193,5.19995,0.28793,1807.73,"December 23, 21",0.0028793
2021-12-22,1786,1805.199951,1785.5,1801.599976,1801.599976,567,567,15.59998,0.87346,1797.43,"December 22, 21",0.0087346
2021-12-21,1791.400024,1796.5,1787.900024,1787.900024,1787.900024,575,575,-3.5,-0.19538,1790.77,"December 21, 21",-0.0019538
2021-12-20,1796.800049,1799.800049,1792,1793.699951,1793.699951,226,226,-3.1001,-0.17253,1795.17,"December 20, 21",-0.0017253
2021-12-17,1804,1812.900024,1803.800049,1803.800049,1803.800049,654,654,-0.199951,-0.01108376,1806.83,"December 17, 21",-0.0001108376
2021-12-16,1781,1798.099976,1781,1796.599976,1796.599976,21,21,15.59998,0.87591,1791.9,"December 16, 21",0.0087591
2021-12-15,1767.400024,1778.699951,1753.900024,1762.599976,1762.599976,283,283,-4.80005,-0.27159,1765.07,"December 15, 21",-0.0027159
2021-12-14,1787,1787,1769,1770.400024,1770.400024,322,322,-16.59998,-0.92893,1775.47,"December 14, 21",-0.0092893
2021-12-13,1784.400024,1787.099976,1783.800049,1786.300049,1786.300049,206,206,1.90002,0.10648,1785.73,"December 13, 21",0.0010648
2021-12-10,1773.800049,1785.400024,1769.099976,1782.900024,1782.900024,545,545,9.09998,0.51302,1779.13,"December 10, 21",0.0051302
2021-12-09,1783.5,1783.5,1771.800049,1774.599976,1774.599976,455,455,-8.90002,-0.49902,1776.63,"December 09, 21",-0.0049902
2021-12-08,1789.900024,1789.900024,1779,1783.400024,1783.400024,1383,1383,-6.5,-0.36315,1784.1,"December 08, 21",-0.0036315
2021-12-07,1779.5,1786.099976,1772.300049,1782.599976,1782.599976,308,308,3.09998,0.1742,1780.33,"December 07, 21",0.001742
2021-12-06,1780.199951,1783,1777.199951,1777.5,1777.5,381,381,-2.69995,-0.15167,1779.23,"December 06, 21",-0.0015167
2021-12-03,1767.5,1785.099976,1766.5,1782,1782,694,694,14.5,0.82037,1777.87,"December 03, 21",0.0082037
2021-12-02,1780.900024,1780.900024,1760.599976,1760.699951,1760.699951,1557,1557,-20.20007,-1.13,1767.4,"December 02, 21",-0.0113
2021-12-01,1774.800049,1790.5,1772.300049,1781.599976,1781.599976,1128,1128,6.79993,0.38314,1781.47,"December 01, 21",0.0038314
2021-11-30,1783.900024,1808.099976,1768.699951,1773.599976,1773.599976,4903,4903,-10.30005,-0.57739,1783.47,"November 30, 21",-0.0057739
2021-11-29,1791.699951,1798.900024,1779.099976,1782.300049,1782.300049,26926,26926,-9.3999,-0.52464,1786.77,"November 29, 21",-0.0052464
2021-11-26,1791.099976,1791.400024,1785.300049,1785.300049,1785.300049,186800,186800,-5.79993,-0.32382,1787.33,"November 26, 21",-0.0032382
2021-11-25,1791.099976,1791.400024,1791.099976,1791.400024,1791.400024,188,188,0.300048,0.01675216,1791.3,"November 25, 21",0.0001675216
2021-11-24,1793,1793,1781.400024,1784.099976,1784.099976,188,188,-8.90002,-0.49638,1786.17,"November 24, 21",-0.0049638
2021-11-23,1795.5,1795.5,1783.5,1783.5,1783.5,264,264,-12,-0.66834,1787.5,"November 23, 21",-0.0066834
2021-11-22,1841.599976,1841.599976,1805.699951,1806,1806,14,14,-35.59998,-1.93,1817.77,"November 22, 21",-0.0193
